i	dbcode	exp	id	isParent	name	open	pid	wd
0	fsnd	指地级行政单位即介于省级和县级之间的一级地方行政区域的个数，包括地区、自治州、行政区和盟。	A010101	True	地级区划数	False	A0101	zb
1	fsnd	市是省、自治区内人口较集中，政治、经济、文化等方面较重要的城市。市人民政府为一级地方行政组织。它可属于省、自治区，称省（自治区）辖市，相当地区级。	A010102	True	地级市数	False	A0101	zb
2	fsnd	县级行政单位指中国地方二级行政区域，是地方政权的基础。县级行政区划单位包括市辖区、县、自治县、县级市、旗、自治旗、林区、特区。	A010103	True	县级区划数	False	A0101	zb
3	fsnd	市辖区（简称区）城市基层政权组织的行政区域。直辖市和较大的市多将市区范围划分为若干区，设立区人民政府。	A010104	True	市辖区数	False	A0101	zb
4	fsnd	县级市是中国大陆行政区划名称，行政地位与县相同的县级行政区	A010105	True	县级市数	False	A0101	zb
5	fsnd	县级行政区是中国地方一级行政区域。按中国现行行政区域体制，县可属于省、自治区、直辖市，可属于市、自治川，也可由省、自治区的派出机构“地区”、“盟”管辖。	A010106	True	县数	False	A0101	zb
6	fsnd	自治县是相当于县的民族自治地方。	A010107	True	自治县数	False	A0101	zb
7	fsnd	县级以下的基层行政区域──乡和镇，是地方三级行政单位。	A010108	True	乡镇级区划数	False	A0101	zb
8	fsnd	指报告期末不设区的市、市辖区、县（自治县、旗、自治旗、特区、林区）在辖区内实际设有的镇人民政府个数（必须是经省一级人民政府批准而设置的）。	A010109	True	镇数	False	A0101	zb
9	fsnd	指报告期末不设区的市、市辖区、县（自治县、旗、自治旗、特区、林区）在辖区内实际设有的乡人民政府个数（必须是经省一级人民政府批准而设置的）。乡包含民族自治乡。	A01010A	True	乡数	False	A0101	zb
10	fsnd	市辖区和不设区的市，根据行政管理的需要，将其所管辖的地区分为若干街道管理区，设立街道办事处，作为市辖区人民政府或市人民政府的派出机关。	A01010B	True	街道办事处	False	A0101	zb
0	fsnd		A010201	False	三次产业法人单位数	False	A0102	zb
1	fsnd		A010202	False	分机构类型法人单位数	False	A0102	zb
2	fsnd		A010203	False	分行业法人单位数	False	A0102	zb
0	fsnd		A010301	False	按控股情况分企业法人单位数	False	A0103	zb
1	fsnd		A010302	False	按登记注册类型分企业法人单位数	False	A0103	zb
0	fsnd	国内生产总值(GDP)指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内生产活动的最终成果。国内生产总值有三种表现形态，即价值形态、收入形态和产品形态。从价值形态看，它是所有常住单位在一定时期内生产的全部货物和服务价值与同期投入的全部非固定资产货物和服务价值的差额，即所有常住单位的增加值之和；从收入形态看，它是所有常住单位在一定时期内创造并分配给常住单位和非常住单位的初次收入之和；从产品形态看，它是所有常住单位在一定时期内最终使用的货物和服务价值与货物和服务净出口价值之和。在实际核算中，国内生产总值有三种计算方法，即生产法、收入法和支出法。三种方法分别从不同的方面反映国内生产总值及其构成。按当年价格计算。对于一个地区来说，称为地区生产总值或地区GDP。	A020101	True	地区生产总值	False	A0201	zb
1	fsnd	第一产业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事第一产业生产活动的最终成果。第一产业是指农、林、牧、渔业。	A020102	True	第一产业增加值	False	A0201	zb
2	fsnd	第二产业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事第二产业生产活动的最终成果。第二产业是指采矿业，制造业，电力、煤气及水的生产和供应业，建筑业。	A020103	True	第二产业增加值	False	A0201	zb
3	fsnd	第三产业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事第三产业生产活动的最终成果。第三产业是指除第一、二产业以外的其他行业。	A020104	True	第三产业增加值	False	A0201	zb
4	fsnd		A020105	True	农林牧渔业增加值	False	A0201	zb
5	fsnd	工业增加值是指工业企业在报告期内以货币形式表现的从事工业生产活动的最终成果。工业增加值有两种计算方法：一是生产法，即工业总产出减去工业中间投入加上应交增值税；二是收入法，即从收入的角度出发，根据生产要素在生产过程中应得到的收入份额计算，具体构成项目有固定资产折旧、劳动者报酬、生产税净额、营业盈余。	A020106	True	工业增加值	False	A0201	zb
6	fsnd	建筑业增加值是指建筑业企业在报告期内以货币形式表现的从事建筑业生产活动的最终成果。目前建筑业增加值采用收入法计算，即从收入的角度出发，根据生产要素在生产过程中应得的收入份额计算。	A020107	True	建筑业增加值	False	A0201	zb
7	fsnd	批发和零售业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事批发和零售业生产活动的最终成果。	A020108	True	批发和零售业增加值	False	A0201	zb
8	fsnd	批发和零售贸易餐饮业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事批发和零售贸易餐饮业生产活动的最终成果。	A020109	True	批发和零售贸易餐饮业增加值	False	A0201	zb
9	fsnd	交通运输、仓储和邮政业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事交通运输、仓储和邮政业生产活动的最终成果。	A02010A	True	交通运输、仓储和邮政业增加值	False	A0201	zb
10	fsnd	交通运输、仓储和邮电通信业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事交通运输、仓储和邮电通信业生产活动的最终成果。	A02010B	True	交通运输、仓储和邮电通信业增加值	False	A0201	zb
11	fsnd	住宿和餐饮业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事住宿和餐饮业生产活动的最终成果。	A02010C	True	住宿和餐饮业增加值	False	A0201	zb
12	fsnd	金融业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事金融业生产活动的最终成果。	A02010D	True	金融业增加值	False	A0201	zb
13	fsnd	房地产业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事房地产业生产活动的最终成果。	A02010E	True	房地产业增加值	False	A0201	zb
14	fsnd	其他行业增加值是指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内从事其他行业生产活动的最终成果。	A02010F	True	其他行业增加值	False	A0201	zb
15	fsnd	人均国内生产总值是指国内生产总值的绝对值与该年平均人口的比值，是衡量一个国家或地区每个居民对该国家或地区的经济贡献或创造价值的指标。	A02010G	True	人均地区生产总值	False	A0201	zb
0	fsnd	地区生产总值指数指反映一定时期内地区生产总值变动趋势和程度的相对数，该指标是以上一年为基期计算的指数。按不变价格计算。	A020201	True	地区生产总值指数(上年=100)	False	A0202	zb
1	fsnd	第一产业增加值指数是指反映一定时期内第一产业增加值变动趋势和程度的相对数，该指标是以上一年为基期计算的指数。按不变价格计算。	A020202	True	第一产业增加值指数(上年=100)	False	A0202	zb
2	fsnd	第二产业增加值指数是指反映一定时期内第二产业增加值变动趋势和程度的相对数，该指标是以上一年为基期计算的指数。按不变价格计算。	A020203	True	第二产业增加值指数(上年=100)	False	A0202	zb
3	fsnd	第三产业增加值指数是指反映一定时期内第三产业增加值变动趋势和程度的相对数，该指标是以上一年为基期计算的指数。按不变价格计算。	A020204	True	第三产业增加值指数(上年=100)	False	A0202	zb
0	fsnd	从收入角度计算的地区生产总值，等于劳动者报酬、生产税净额、固定资产折旧和营业盈余之和。	A020301	True	收入法生产总值	False	A0203	zb
1	fsnd	劳动者报酬指劳动者因从事生产活动所获得的全部报酬。包括劳动者获得的各种形式的工资、奖金和津贴，既包括货币形式的，也包括实物形式的，还包括劳动者所享受的公费医疗和医药卫生费、上下班交通补贴、单位支付的社会保险费、住房公积金等。	A020302	True	劳动者报酬	False	A0203	zb
2	fsnd	生产税净额指生产税减生产补贴后的余额。生产税指政府对生产单位从事生产、销售和经营活动以及因从事生产活动使用某些生产要素(如固定资产、土地、劳动力)所征收的各种税、附加费和规费。生产补贴与生产税相反，指政府对生产单位的单方面转移支出，因此视为负生产税，包括政策亏损补贴、价格补贴等。	A020303	True	生产税净额	False	A0203	zb
3	fsnd	固定资产折旧指一定时期内为弥补固定资产损耗按照规定的固定资产折旧率提取的固定资产折旧，或按国民经济核算统一规定的折旧率虚拟计算的固定资产折旧。它反映了固定资产在当期生产中的转移价值。各类企业和企业化管理的事业单位的固定资产折旧是指实际计提的折旧费；不计提折旧的政府机关、非企业化管理的事业单位和居民住房的固定资产折旧是按照统一规定的折旧率和固定资产原值计算的虚拟折旧。原则上，固定资产折旧应按固定资产的重置价值计算，但是目前我国尚不具备对全社会固定资产进行重估价的基础，所以暂时只能采用上述办法。	A020304	True	固定资产折旧	False	A0203	zb
4	fsnd	营业盈余指常住单位创造的增加值扣除劳动者报酬、生产税净额和固定资产折旧后的余额。它相当于企业的营业利润加上生产补贴，但要扣除从利润中开支的工资和福利等。	A020305	True	营业盈余	False	A0203	zb
0	fsnd	支出法国内生产总值是从最终使用的角度反映一个国家(或地区)一定时期内生产活动最终成果的一种方法，包括最终消费支出、资本形成总额及货物和服务净出口三部分。计算公式为：支出法国内生产总值=最终消费支出+资本形成总额+货物和服务净出口	A020401	True	支出法生产总值	False	A0204	zb
